,name,artist,release_date,length,acousticness,danceability,instrumentalness,loudness,liveness,tempo,energy,speechiness,valence,time_signature,popularity
66,Party Rock Anthem,LMFAO,2011,262.0,0.15755304715909085,0.75,0.169678918465909,-4.0,0.27,130.0,0.74,0.16,0.35000000000000003,3.9829545454545454,72
67,We R Who We R,Kesha,2011,205.0,0.00079,0.74,0.0,-5.0,0.12,120.0,0.8200000000000001,0.04,0.65,4.0,72
68,Price Tag,Jessie J,2011,223.0,0.15755304715909085,0.64,0.169678918465909,-4.0,0.27,175.0,0.8300000000000001,0.18,0.68,3.9829545454545454,72
69,Good Life,OneRepublic,2011,253.0,0.15755304715909085,0.63,0.169678918465909,-8.0,0.13,95.0,0.6900000000000001,0.05,0.65,3.9829545454545454,72
70,Just Cant Get Enough,The Black Eyed Peas,2011,219.0,0.15755304715909085,0.66,0.169678918465909,-9.0,0.11,94.0,0.63,0.18,0.26,3.9829545454545454,71
71,On The Floor,Jennifer Lopez,2011,285.0,0.15755304715909085,0.73,0.169678918465909,-5.0,0.07,130.0,0.78,0.05,0.5700000000000001,3.9829545454545454,69
72,What's My Name?,Rihanna,2011,263.0,0.182,0.6900000000000001,0.0,-3.0,0.08,100.0,0.79,0.07,0.58,4.0,69
73,Yeah 3x,Chris Brown,2011,242.0,0.15755304715909085,0.71,0.169678918465909,-3.0,0.09,130.0,0.88,0.04,0.7000000000000001,3.9829545454545454,69
74,Without You (feat. Usher),David Guetta,2011,208.0,0.22699999999999998,0.61,3.82e-06,-4.0,0.16,128.0,0.61,0.03,0.4,4.0,68
75,Sexy And I Know It,LMFAO,2011,199.0,0.15755304715909085,0.71,0.169678918465909,-4.0,0.19,130.0,0.86,0.32,0.8,3.9829545454545454,67
76,The Edge Of Glory,Lady Gaga,2011,321.0,0.15755304715909085,0.58,0.169678918465909,-6.0,0.11,128.0,0.77,0.04,0.36,3.9829545454545454,67
77,E.T.,Katy Perry,2011,230.0,0.0015300000000000001,0.62,0.9329999999999999,-5.0,0.37,152.0,0.87,0.18,0.76,4.0,66
78,Till the World Ends,Britney Spears,2011,238.0,0.15755304715909085,0.6900000000000001,0.169678918465909,-6.0,0.2,132.0,0.71,0.07,0.45,3.9829545454545454,65
79,I Wanna Go,Britney Spears,2011,210.0,0.15755304715909085,0.7000000000000001,0.169678918465909,-7.0,0.33,130.0,0.55,0.04,0.79,3.9829545454545454,64
80,Blow,Kesha,2011,220.0,0.38799999999999996,0.75,0.0,-4.0,0.07,120.0,0.73,0.04,0.81,4.0,64
81,You And I,Lady Gaga,2011,307.0,0.15755304715909085,0.52,0.169678918465909,-5.0,0.09,127.0,0.7000000000000001,0.05,0.52,3.9829545454545454,64
82,Judas,Lady Gaga,2011,249.0,0.15755304715909085,0.66,0.169678918465909,-4.0,0.27,131.0,0.93,0.07,0.53,3.9829545454545454,63
83,Tonight (I'm Fuckin' You),Enrique Iglesias,2011,232.0,0.0296,0.65,9.32e-06,-4.0,0.12,126.0,0.89,0.05,0.32,4.0,63
84,Please Don't Go,Mike Posner,2011,197.0,0.15755304715909085,0.7000000000000001,0.169678918465909,-4.0,0.13,120.0,0.88,0.03,0.66,3.9829545454545454,63
85,We Found Love,Rihanna,2011,215.0,0.185,0.73,0.000337,-4.0,0.11,128.0,0.77,0.04,0.6,4.0,61
86,Marry The Night,Lady Gaga,2011,265.0,0.15755304715909085,0.61,0.169678918465909,-4.0,0.46,131.0,0.88,0.06,0.38,3.9829545454545454,61
